ref_key,title,abstract_text,source,word_count,extraction_date
THESIS,Effects of graphical cues during information processing in a social science context,"Social science is sometimes faced with legitimizing its own scientific value to certain  audiences. The Elaboration Likelihood Model offers a way to understand how audiences  process information and previous studies suggest that graphical cues within science messages  may help to increase its perceived scientific value, especially among individuals with lower  need for cognition. This study extends these predictions into a social science context by  manipulating the presence of graphical cues within a popular article using an online  experiment. Results suggest that graphical cues interacted with college major where students  majoring in a non-science-related field perceived messages with graphical cues to have less  scientific value, which is opposite of what was predicted. Within these non-science majors,  need for cognition interacted with the treatment, such that participants with higher need for  cognition perceived the messages with graphical cues and having less scientific value. 
",user_input,141,2026-02-01 11:04:32
REF_001,The “nasty effect:” Online incivility and risk perceptions of emerging technologies,"Uncivil discourse is a growing concern in American rhetoric, and this trend has expanded beyond traditional media to online sources, such as audience comments. Using an experiment given to a sample representative of the U.S. population, we examine the effects online incivility on perceptions toward a particular issue—namely, an emerging technology, nanotechnology. We found that exposure to uncivil blog comments can polarize risk perceptions of nanotechnology along the lines of religiosity and issue support.",openalex_search,74,2026-02-01 11:04:38
REF_002,The role of media and deference to scientific authority in cultivating trust in sources of information about emerging technologies,"Journal Article The Role of Media and Deference to Scientific Authority in Cultivating Trust in Sources of Information about Emerging Technologies Get access Ashley A. Anderson, Ashley A. Anderson 1Department of Life Sciences Communication, University of Wisconsin–Madison, 2Center for Nanotechnology and Society at Arizona State University, 3University of Wisconsin–Madison Nanoscale Science and Engineering Center in Templated Synthesis and Assembly at the Nanoscale and 4School of Public Affairs, Arizona State University Ashley A. Anderson is a PhD candidate in the Department of Life Sciences Communication at the University of Wisconsin–Madison. Her research focuses on public opinion and public deliberation about emerging science and technology issues. Search for other works by this author on: Oxford Academic Google Scholar Dietram A. Scheufele, Dietram A. Scheufele 1Department of Life Sciences Communication, University of Wisconsin–Madison, 2Center for Nanotechnology and Society at Arizona State University, 3University of Wisconsin–Madison Nanoscale Science and Engineering Center in Templated Synthesis and Assembly at the Nanoscale and 4School of Public Affairs, Arizona State University Dietram A. Scheufele is Professor and Director of Graduate Studies in the Department of Life Sciences Communication at the University of Wisconsin–Madison. His work focuses on public opinion, political communication, and public attitudes toward new technologies, including nanotechnology, stem cell research, and genetically modified organisms. Search for other works by this author on: Oxford Academic Google Scholar Dominique Brossard, Dominique Brossard 1Department of Life Sciences Communication, University of Wisconsin–Madison, 2Center for Nanotechnology and Society at Arizona State University, 3University of Wisconsin–Madison Nanoscale Science and Engineering Center in Templated Synthesis and Assembly at the Nanoscale and 4School of Public Affairs, Arizona State University Dominique Brossard (PhD, Cornell University) is an associate professor and Director of Undergraduate Studies in the Department of Life Sciences Communication, University of Wisconsin-Madison, USA, and a faculty affiliate of the UW–Madison Robert and Jean Holtz Center for Science and Technology Studies. Her research broadly focuses on the intersection between science, media and the public and on the understanding of public opinion dynamics in the context of controversial science. She has recently co-edited (with Jim Shanahan and Clint Nesbit) the book The Media, the Public, and Agricultural Biotechnology (CABI Publishing, 2007). Search for other works by this author on: Oxford Academic Google Scholar Elizabeth A. Corley Elizabeth A. Corley 1Department of Life Sciences Communication, University of Wisconsin–Madison, 2Center for Nanotechnology and Society at Arizona State University, 3University of Wisconsin–Madison Nanoscale Science and Engineering Center in Templated Synthesis and Assembly at the Nanoscale and 4School of Public Affairs, Arizona State University Elizabeth A. Corley is the Lincoln Professor of Public Policy, Ethics & Emerging Technologies and an Associate Professor in the School of Public Affairs at Arizona State University. Her research focuses on technology policy and environmental policy. She serves as a Co-Principal Investigator for the NSF-funded Center for Nanotechnology in Society at Arizona State University (CNS-ASU). Search for other works by this author on: Oxford Academic Google Scholar International Journal of Public Opinion Research, Volume 24, Issue 2, Summer 2012, Pages 225–237, https://doi.org/10.1093/ijpor/edr032 Published: 25 August 2011 Article history Received: 14 October 2010 Accepted: 24 April 2011 Published: 25 August 2011",openalex_doi,516,2026-02-01 11:04:41
REF_003,"Social science research: Principles, methods, and practices","This book is designed to introduce doctoral and postgraduate students to the process of conducting scientific research in the social sciences, business, education, public health, and related disciplines. It is a one-stop, comprehensive, and compact source for foundational concepts in behavioural research, and can serve as a standalone text or as a supplement to research readings in any doctoral seminar or research methods class. This book is currently being used as a research text at universities in 216 countries, across six continents and has been translated into seven different languages. To receive updates on this book, including the translated versions, please follow the author on Facebook or Twitter @Anol_B.",openalex_search,109,2026-02-01 11:04:43
REF_004,Influence processes for information technology acceptance: An elaboration likelihood model,"This study examines how processes of external influence shape information technology acceptance among potential users, how such influence effects vary across a user population, and whether these effects are persistent over time. Drawing on the elaboration-likelihood model (ELM), we compared two alternative influence processes, the central and peripheral routes, in motivating IT acceptance. These processes were respectively operationalized using the argument quality and source credibility constructs, and linked to perceived usefulness and attitude, the core perceptual drivers of IT acceptance. We further examined how these influence processes were moderated by users’ IT expertise and perceived job relevance and the temporal stability of such influence effects. Nine hypotheses thus developed were empirically validated using a field survey of document management system acceptance at an eastern European governmental agency. This study contributes to the IT acceptance literature by introducing ELM as a referent theory for acceptance research, by elaborating alternative modes of influence, and by specifying factors moderating their effects. For practitioners, this study introduces influence processes as policy tools that managers can employ to motivate IT acceptance within their organizations, benchmarks alternative influence strategies, and demonstrates the need for customizing influence strategies to the specific needs of a user population.",crossref_api,199,2026-02-01 11:04:44
REF_005,Deference to scientific authority among a low information public: Understanding US opinion on agricultural biotechnology,"This study uses the contemporary debate over agricultural biotechnology to conceptualize a theoretical model that can be used to explain how citizens reach judgments across a range of science and technology controversies. We report findings from a mail survey of New York State residents that depicts a ‘low information’ public relying heavily on heuristics such as value predispositions, trust, and schema to form an opinion about agricultural biotechnology. Science knowledge does play a modest role, with the news media serving as an important source of informal learning. Contrary to expectations and past research, we do not find any direct effects for news attention on support for agricultural biotechnology. Deference to scientific authority is a central value predisposition shaping support for agricultural biotechnology. Positively correlated with education, deference to scientific authority is the strongest influence on support for agricultural biotechnology in our model. Part of the variable's influence is direct, but part of it is also indirect, as deference to scientific authority is a key predictor of both trust in the sponsors of biotechnology and generalized reservations about the impacts of science.",openalex_doi,181,2026-02-01 11:04:46
REF_006,"Science, new media, and the public","The asymmetric α-addition of relatively nonpolar hydrocarbon substrates, such as allyl and aryl groups, to aldehydes and ketones remains a largely unsolved problem in organic synthesis, despite the wide potential utility of direct routes to such products. We reasoned that well-established chiral amine catalysis, which activates aldehydes toward electrophile addition by enamine formation, could be expanded to this important reaction class by applying a single-electron oxidant to create a transient radical species from the enamine. We demonstrated the concept of singly occupied molecular orbital (SOMO) activation with a highly selective α-allylation of aldehydes, and we here present preliminary results for enantioselective heteroarylations and cyclization/halogenation cascades.",openalex_doi,105,2026-02-01 11:04:49
REF_007,The need for cognition,,not_found,0,2026-02-01 11:04:51
REF_008,The efficient assessment of need for cognition,A short form for assessing individual differences in need for cognition is described.,openalex_doi,13,2026-02-01 11:04:54
REF_009,Dispositional differences in cognitive motivation: The life and times of individuals varying in need for cognition,,not_found,0,2026-02-01 11:04:56
